typo,orig,historique,typvoie,arrdt,quartier,longueur,largeur,typo_normalized,id,nom,insee,adresse,url,type_usagers,gratuit,nb_places,nb_pr,nb_pmr,nb_voitures_electriques,nb_velo,nb_2r_el,nb_autopartage,nb_2_rm,nb_covoit,hauteur_max,num_siret,Xlong,Ylat,tarif_pmr,tarif_1h,tarif_2h,tarif_3h,tarif_4h,tarif_24h,abo_resident,abo_non_resident,type_ouvrage,info,id_local,adresse_normalized,typo_match
RUE DE CHARENTON,Conduit à la commune de Charenton.,"Au XVIIIe siècle, cette voie était dénommée rue de la Planchette entre la place du Colonel Bourgoin et la rue Montgallet, et rue de la Vallée de Fécamp, entre la rue Montgallet et le boulevard Poniatowski. De 1800 à 1815, elle a porté le nom de rue de Marengo. La partie comprise entre les rues de Rambouillet et Erard a été englobé dans la place du Colonel Bourgoin en 1972. Précédemment partie de la route nationale n° 5.",rue,12e,"Bercy,Picpus,Quinze-Vingts",3150.0,16.0,ruedecharenton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,75108-P-110,ALMA GEORGE V,75108.0,6 ter avenue George V. 75008. Paris,https://fr.parkindigo.com/parking/paris-75008/alma-george-v-75080700,tous,0.0,502.0,0.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,190.0,64202088700419.0,2.301572,48.8653286,,5.2,10.4,15.6,20.8,42.8,185.03,305.0,ouvrage,autre entree = 17 ter avenue George V. 75008. Paris,,6teravenuegeorgev75008paris,
,,,,,,,,,75108-P-125,CHAMPS ELYSEES PIERRE CHARRON,75108.0,67 ter rue Pierre Charron. 75008. Paris,https://fr.parkindigo.com/parking/paris-75008/pierre-charron-champs-elysees-75081900,tous,0.0,398.0,0.0,8.0,9.0,0.0,0.0,0.0,10.0,0.0,195.0,39342218300029.0,2.30459,48.870215,tarif_special,5.2,10.4,15.6,20.8,42.8,230.4,288.0,ouvrage,tarif petit rouleur -25 % = contacter le parc|tarif PMR = 2.40 euros,,67terruepierrecharron75008paris,
,,,,,,,,,75109-P-045,MONTHOLON,75109.0,3 M rue Mayran. 75009. Paris,https://fr.parkindigo.com/parking/paris-75009/montholon-75091600,tous,0.0,424.0,0.0,9.0,3.0,8.0,2.0,3.0,37.0,0.0,190.0,30464607800390.0,2.345951,48.876873,tarif_special,4.0,8.0,12.0,16.0,36.0,165.0,235.0,ouvrage,tarif petit rouleur -25 % = contacter le parc|tarif PMR = 2.00 euros,,3mruemayran75009paris,
,,,,,,,,,75110-P-028,MAGENTA GARE DE L EST,75110.0,8 ter square Alban Satragne. 75010. Paris,https://fr.parkindigo.com/parking/paris-75010/alban-satragne-magenta-75100900,tous,0.0,706.0,0.0,16.0,2.0,30.0,0.0,0.0,50.0,0.0,190.0,64202088700419.0,2.3553,48.875667,tarif_special,4.2,8.4,12.6,16.8,37.8,200.0,250.0,ouvrage,tarif petit rouleur -25 % = contacter le parc|tarif PMR = 2.10 euros,,8tersquarealbansatragne75010paris,
,,,,,,,,,75110-P-130,FRANZ LISZT,75110.0,32 ter rue des Petits Hotels. 75010. Paris,https://fr.parkindigo.com/parking/paris-75010/franz-liszt-75100300,tous,0.0,287.0,0.0,5.0,0.0,4.0,0.0,2.0,27.0,0.0,190.0,30464607800143.0,2.352655,48.877564,,4.8,9.6,14.4,19.2,41.4,,235.0,ouvrage,,,32terruedespetitshotels75010paris,
,,,,,,,,,75110-P-131,EURONORD LARIBOISIERE,75110.0,10 ter rue Ambroise Pare. 75010. Paris,https://fr.parkindigo.com/parking/paris-75010/euronord-lariboisiere-75100400,tous,0.0,498.0,0.0,10.0,0.0,6.0,0.0,15.0,30.0,0.0,190.0,33979635100049.0,2.352176,48.882039,tarif_special,4.8,9.6,14.4,19.2,41.4,165.0,206.0,ouvrage,tarif petit rouleur -25 % = contacter le parc|tarif PMR = 2.40 euros,,10terrueambroisepare75010paris,
,,,,,,,,,75112-P-017,PICPUS NATION,75112.0,77 M boulevard de Picpus. 75012. Paris,https://fr.parkindigo.com/parking/paris-75012/picpus-nation-75120100,tous,0.0,909.0,0.0,16.0,2.0,0.0,0.0,22.0,32.0,0.0,190.0,66205324800016.0,2.3991444,48.8471545,tarif_special,3.2,6.4,9.6,12.8,28.8,114.0,124.0,ouvrage,autre entree = 65 M boulevard de Picpus. 75012. Paris|tarif PMR = 1.60 euros,,77mboulevarddepicpus75012paris,
,,,,,,,,,75112-P-029,BASTILLE,75112.0,29 boulevard de la Bastille. 75012. Paris,https://fr.parkindigo.com/parking/paris-75012/bastille-75121100,tous,0.0,459.0,0.0,7.0,0.0,0.0,0.0,0.0,20.0,0.0,190.0,64202088700419.0,2.3681825,48.849486,tarif_special,4.0,8.0,12.0,16.0,36.0,155.0,193.75,ouvrage,tarif petit rouleur -25 % = contacter le parc|tarif PMR = 2.00 euros,,29boulevarddelabastille75012paris,
,,,,,,,,,75112-P-062,BERCY RELAIS MERCURE,75112.0,71 rue de Bercy. 75012. Paris,https://all.accor.com/hotel/0941/index.fr.shtml,tous,0.0,157.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,40206971000075.0,2.3815335,48.8381761,,3.6,7.2,10.8,14.4,30.0,,155.0,ouvrage,URL indique est celui de l'hotel dont depend le parc de stationnement,,71ruedebercy75012paris,
,,,,,,,,,75112-P-103,FAUBOURG SAINT ANTOINE,75112.0,83 ter avenue Ledru Rollin. 75012. Paris,https://fr.parkindigo.com/parking/paris-75012/faubourg-saint-antoine-75120200,tous,0.0,373.0,0.0,6.0,4.0,0.0,0.0,0.0,24.0,0.0,190.0,67203552400020.0,2.3755613,48.850842,,4.8,9.6,14.4,19.2,41.4,,234.0,ouvrage,,,83teravenueledrurollin75012paris,
,,,,,,,,,75112-P-127,LYON DIDEROT,75112.0,198 rue de Bercy. 75012. Paris,https://www.effia.com/parking/parking-paris-gare-de-lyon-diderot-effia,tous,0.0,305.0,0.0,6.0,5.0,0.0,0.0,0.0,78.0,0.0,190.0,31703299300741.0,2.3721699,48.8446816,,4.5,8.9,13.3,17.7,37.1,,291.67,ouvrage,,,198ruedebercy75012paris,
,,,,,,,,,75113-P-150,BORDS DE SEINE FREYSSINET (RIVE GAUCHE),75113.0,25 rue Abel Gance. 75013. Paris,https://fr.parkindigo.com/parking/paris-75013/bords-de-seine-freyssinet-75131000,tous,0.0,390.0,0.0,9.0,3.0,16.0,0.0,5.0,32.0,0.0,190.0,64202088700153.0,2.3730091,48.8351568,,3.8,7.6,11.4,15.2,34.2,188.0,235.0,ouvrage,tarif petit rouleur -25 % = contacter le parc,,25rueabelgance75013paris,
,,,,,,,,,75113-P-151,BIBLIOTHEQUE F. MITTERRAND (RIVE GAUCHE),75113.0,16 rue Emile Durkheim. 75013. Paris,https://fr.parkindigo.com/parking/paris-75013/bibliotheque-francois-mitterrand-75131100,tous,0.0,1018.0,200.0,21.0,3.0,20.0,0.0,6.0,32.0,0.0,190.0,64202088700153.0,2.3773298,48.8322497,,3.8,7.6,11.4,15.2,34.2,188.0,235.0,ouvrage,tarif petit rouleur -25 % = contacter le parc|autre entree = 43 quai Francois Mauriac. 75013. Paris,,16rueemiledurkheim75013paris,
,,,,,,,,,75113-P-152,CITE DE LA MODE AUSTERLITZ (RIVE GAUCHE),75113.0,29 ter quai d Austerlitz. 75013. Paris,https://fr.parkindigo.com/parking/paris-75013/cite-de-la-mode-austerlitz-75130900,tous,0.0,345.0,0.0,7.0,4.0,16.0,0.0,6.0,22.0,0.0,190.0,64202088700153.0,2.371114,48.839416,,3.8,7.6,11.4,15.2,34.2,188.0,235.0,ouvrage,tarif petit rouleur -25 % = contacter le parc,,29terquaidausterlitz75013paris,
,,,,,,,,,75113-P-153,UNIVERSITE DIDEROT (RIVE GAUCHE),75113.0,29 quater rue Thomas Mann. 75013. Paris,https://fr.parkindigo.com/parking/paris-75013/universite-diderot-75131200,tous,0.0,499.0,200.0,12.0,4.0,16.0,0.0,6.0,32.0,0.0,190.0,64202088700153.0,2.378907,48.829433,,3.2,6.4,9.6,12.8,28.8,146.0,183.0,ouvrage,tarif petit rouleur -40 % = contacter le parc,,29quaterruethomasmann75013paris,
,,,,,,,,,75113-P-163,WATT (RIVE GAUCHE),75113.0,50 rue Watt. 75013. Paris,https://fr.parkindigo.com/parking/paris-75013/zac-rive-gauche-watt-75131300,abonnés,0.0,604.0,0.0,17.0,0.0,10.0,0.0,0.0,0.0,0.0,190.0,64202088700153.0,2.378678,48.826509,,,,,,,71.6,89.5,ouvrage,tarif petit rouleur -40 % = contacter le parc,,50ruewatt75013paris,
,,,,,,,,,75114-P-019,MONTPARNASSE,75114.0,120 quater boulevard du Montparnasse. 75014. Paris,https://fr.parkindigo.com/parking/paris-75014/montparnasse-raspail-75140300,tous,0.0,764.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,190.0,30464607800143.0,2.3307939,48.8414661,,4.6,9.2,13.8,18.4,39.6,,209.0,ouvrage,autre entree = 139 ter boulevard du Montparnasse. 75006. Paris,,120quaterboulevarddumontparnasse75014paris,
